sku,product_name,current_stock,par_level,unit_cost
DRINK-COLA-12OZ,Cola 12oz,4,20,0.84
DRINK-WATER-16OZ,Water 16oz,2,24,0.42
SNACK-CHIP-1OZ,Chips 1oz,18,20,0.56
DRINK-ENERGY-8OZ,Energy 8oz,0,12,1.26
SNACK-BAR-PROT,Protein Bar,8,10,1.19
DRINK-JUICE-12OZ,Apple Juice 12oz,22,20,0.77
SNACK-CRACKER-2OZ,Crackers 2oz,3,16,0.49
DRINK-TEA-16OZ,Iced Tea 16oz,14,18,0.63
SNACK-CANDY-15OZ,Candy Mix 1.5oz,1,12,0.91
DRINK-SPORT-20OZ,Sports Drink 20oz,6,20,1.05
SNACK-NUT-1OZ,Mixed Nuts 1oz,25,20,1.33
DRINK-SODA-DIET-12OZ,Diet Soda 12oz,19,20,0.84
SNACK-POPCORN-1OZ,Popcorn 1oz,11,14,0.42
DRINK-LEMONADE-12OZ,Lemonade 12oz,3,16,0.70
SNACK-PRETZEL-1OZ,Pretzels 1oz,30,20,0.35
DRINK-COFFEE-8OZ,Iced Coffee 8oz,5,18,1.47
SNACK-FRUIT-2OZ,Dried Fruit 2oz,2,10,0.84
DRINK-WATER-SPARKLING-16OZ,Sparkling Water 16oz,28,20,0.56
SNACK-RICE-CAKE-1OZ,Rice Cakes 1oz,9,12,0.42
DRINK-KOMBUCHA-12OZ,Kombucha 12oz,1,8,1.61
